county_fips,places_access2,places_bphigh,places_chd,places_depression,places_diabetes,places_foodinsecu,places_foodstamp,places_ghlth,places_housinsecu,places_lacktrpt,places_lpa,places_mhlth,places_obesity,places_stroke
18169,8.5,33.7,5.9,26.2,10.8,14.3,8.3,19.8,11.1,7.5,24.8,19.4,38.4,3.0
18171,8.4,33.7,6.0,27.3,10.9,13.8,8.1,19.7,11.0,7.5,24.7,19.5,41.4,3.0
18173,6.4,30.5,5.0,25.9,9.5,9.5,5.1,15.5,8.4,5.7,19.9,17.3,33.8,2.5
18175,9.4,36.9,6.5,28.6,11.9,16.4,10.6,22.2,12.5,8.7,27.1,20.2,41.0,3.3
18177,9.4,35.9,6.5,28.4,12.1,17.6,11.3,22.4,13.4,9.1,27.3,20.8,38.2,3.4
18179,8.3,34.3,5.7,26.9,10.4,13.1,7.3,18.8,10.6,7.0,24.2,18.8,41.9,2.9
18181,10.1,33.7,5.9,26.8,11.4,14.8,8.3,20.4,11.9,7.8,26.1,18.9,44.7,3.0
18183,8.0,32.8,5.7,25.8,10.2,12.5,7.2,17.9,10.4,6.9,22.7,18.6,39.4,2.8
19001,7.6,32.4,5.8,21.9,9.9,13.3,11.8,18.0,10.5,7.5,25.9,18.3,40.1,3.0
19003,7.1,31.1,5.5,22.2,9.5,12.2,10.4,17.1,9.8,7.0,24.9,17.9,39.2,2.8
19005,8.8,31.8,5.8,21.7,9.8,13.7,11.7,18.3,11.1,7.6,25.3,18.2,42.5,3.0
19007,8.8,35.2,6.6,23.8,11.5,17.2,16.7,21.5,12.3,9.2,29.0,19.6,43.5,3.5
19009,7.8,31.4,5.8,21.9,9.8,13.4,11.8,18.0,10.7,7.6,25.2,18.3,37.8,3.0
19011,6.5,30.1,5.2,21.3,8.6,10.5,8.6,15.7,8.8,6.3,22.1,17.2,40.6,2.6
19013,7.4,32.4,5.7,21.6,10.8,13.5,12.6,18.5,10.3,8.0,23.5,17.2,42.0,3.0
19015,6.6,31.0,5.1,21.3,8.9,10.3,8.2,15.5,8.8,6.2,23.3,17.1,42.9,2.6
19017,6.1,29.5,5.0,20.5,8.4,9.8,7.9,14.7,8.5,6.0,21.4,16.5,38.6,2.5
19019,6.8,30.5,5.2,21.3,8.9,11.0,8.9,15.7,9.3,6.4,22.6,17.3,37.4,2.7
19021,13.2,31.6,6.0,18.3,11.7,19.1,14.9,22.1,14.8,9.5,29.7,16.9,38.9,3.2
19023,7.3,31.6,5.6,22.0,9.5,12.4,10.6,17.5,10.0,7.1,25.7,17.9,39.3,2.9
19025,7.4,30.8,5.6,21.1,9.6,12.4,10.5,17.2,10.2,7.2,24.5,17.6,40.3,2.9
19027,7.3,30.8,5.4,21.2,9.3,12.1,10.2,16.8,9.8,7.0,25.2,17.6,40.0,2.8
19029,8.1,32.3,6.0,22.8,10.5,14.4,13.2,19.1,11.1,8.1,26.3,18.6,41.0,3.1
19031,6.9,30.2,5.2,22.1,9.2,11.2,9.4,16.0,9.4,6.6,23.6,17.7,40.5,2.7
19033,7.6,30.5,5.5,22.9,9.5,12.4,10.7,17.0,10.2,7.1,24.9,17.9,40.5,2.8
19035,8.4,32.1,5.8,22.1,10.2,14.2,12.3,18.5,11.1,7.9,27.4,18.3,41.0,3.0
19037,8.3,31.2,5.5,20.6,9.5,12.3,10.2,17.5,10.1,7.0,25.3,17.7,39.6,2.8
19039,12.0,32.8,6.4,21.6,11.6,18.8,16.7,22.3,14.2,9.7,30.3,18.8,43.2,3.4
19041,7.3,30.5,5.4,21.3,9.5,12.1,10.5,16.6,9.9,7.0,24.7,17.5,35.5,2.8
19043,8.3,32.6,6.0,21.4,10.1,14.7,13.2,19.2,11.2,8.1,27.9,18.7,41.2,3.2
19045,7.8,32.4,5.8,21.7,10.0,13.8,12.4,18.0,10.8,7.8,25.7,18.2,39.3,3.0
19047,14.3,33.2,6.3,19.5,12.2,19.8,15.7,22.7,14.9,9.9,31.5,17.6,43.1,3.3
